0310_ZFFL55_AAN155_1E-6_ACN_exc375_comparative

Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_O2_NewSample,0310_ZFFL55_AAN155_1E-6_ACN_exc375_5min argon,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_O2,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_5min Argon,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,

524.00,2.50140352E+4,2.98273047E+4,1.30049561E+3,3.17782275E+3,
526.00,2.45368535E+4,2.89797813E+4,1.56099304E+3,3.54248584E+3,
528.00,2.43216563E+4,2.88279492E+4,1.64303906E+3,4.20328809E+3,
530.00,2.29739023E+4,2.84569980E+4,1.77987439E+3,4.89142529E+3,
532.00,2.28337637E+4,2.77827383E+4,2.04257117E+3,5.64006348E+3,
534.00,2.22244336E+4,2.74147578E+4,2.13452246E+3,6.25858350E+3,
536.00,2.19216582E+4,2.69028125E+4,2.33554736E+3,6.90722070E+3,
538.00,2.18762754E+4,2.65168574E+4,2.52348682E+3,8.18076563E+3,
540.00,2.07980371E+4,2.67160332E+4,2.64163062E+3,9.10554785E+3,
542.00,2.05673730E+4,2.63725098E+4,3.03945068E+3,1.01583662E+4,
544.00,2.00648652E+4,2.53275977E+4,3.21388062E+3,1.12483545E+4,
546.00,1.92590469E+4,2.52926738E+4,3.32407788E+3,1.25351191E+4,
548.00,1.88536699E+4,2.47289727E+4,3.52914355E+3,1.34760391E+4,
550.00,1.84171523E+4,2.39146484E+4,3.74882788E+3,1.44946484E+4,
552.00,1.77948535E+4,2.39704160E+4,4.42312549E+3,1.61573643E+4,
554.00,1.69799941E+4,2.32745918E+4,4.42753320E+3,1.72173711E+4,
556.00,1.68916094E+4,2.30077090E+4,4.84460205E+3,1.92659531E+4,
558.00,1.61938018E+4,2.27530488E+4,5.10755078E+3,2.04463047E+4,
560.00,1.53773066E+4,2.23301426E+4,5.22831641E+3,2.19006699E+4,
562.00,1.49363057E+4,2.19660430E+4,5.85435938E+3,2.41378652E+4,
564.00,1.47209727E+4,2.10715371E+4,5.96935449E+3,2.48671641E+4,
566.00,1.40845781E+4,2.05942891E+4,6.36332813E+3,2.63268984E+4,
568.00,1.35789795E+4,2.07777363E+4,6.68557178E+3,2.78170879E+4,
570.00,1.33269902E+4,2.05154316E+4,7.11737793E+3,2.96497891E+4,
572.00,1.30133145E+4,2.08136523E+4,7.49722998E+3,3.11770352E+4,
574.00,1.24392627E+4,2.02019590E+4,7.29056006E+3,3.32380742E+4,
576.00,1.18682041E+4,2.01867539E+4,7.92168408E+3,3.42978867E+4,
578.00,1.12960674E+4,1.96356211E+4,8.64437207E+3,3.61590938E+4,
580.00,1.11463369E+4,1.90752949E+4,8.59429297E+3,3.70683125E+4,
582.00,1.11318242E+4,1.89049355E+4,9.19054980E+3,3.90410352E+4,
584.00,1.06377236E+4,1.92853750E+4,9.16858789E+3,4.05681992E+4,
586.00,1.03344688E+4,1.90055156E+4,9.31031543E+3,4.14215078E+4,
588.00,9.67930664E+3,1.88020469E+4,9.60427637E+3,4.32246523E+4,
590.00,9.18687109E+3,1.83112266E+4,9.84568164E+3,4.41974805E+4,
592.00,9.20805957E+3,1.84900410E+4,9.96285449E+3,4.53369648E+4,
594.00,8.62081055E+3,1.79246816E+4,1.00598203E+4,4.56426992E+4,
596.00,8.21406348E+3,1.79076953E+4,1.01714443E+4,4.65110156E+4,
598.00,8.42360352E+3,1.77769199E+4,1.04491055E+4,4.81520078E+4,
600.00,7.96117529E+3,1.79649609E+4,1.02072725E+4,4.83567695E+4,
602.00,7.80324365E+3,1.78220352E+4,1.05895771E+4,4.91771055E+4,
604.00,7.50964551E+3,1.74092773E+4,1.07462324E+4,5.14208047E+4,
606.00,7.04931299E+3,1.76316484E+4,1.08219717E+4,5.00341172E+4,
608.00,7.23767578E+3,1.74755664E+4,1.07558535E+4,5.06216563E+4,
610.00,6.77143066E+3,1.72377598E+4,1.10525352E+4,5.18756211E+4,
612.00,6.88428564E+3,1.72004512E+4,1.11624482E+4,5.23020117E+4,
