1909_ZFFL55_AAN155_1E-5_ACN_exc375_ALL

Labels,1908_ZFFL55_AAN155_1E-5_ACN_exc375_O2,1909_ZFFL55_AAN155_1E-5_ACN_exc375_1minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_2minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_3minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_4minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

480.00,1.70379734E+5,2.04829969E+5,2.10907297E+5,2.07213359E+5,2.07476203E+5,2.08264188E+5,
482.00,1.76734625E+5,2.11649906E+5,2.19416734E+5,2.14735328E+5,2.15142703E+5,2.14907031E+5,
484.00,1.82094563E+5,2.17787563E+5,2.27353766E+5,2.21008984E+5,2.21922219E+5,2.22768469E+5,
486.00,1.87548875E+5,2.24554438E+5,2.32280875E+5,2.27461844E+5,2.28872625E+5,2.27865688E+5,
488.00,1.92924531E+5,2.33804609E+5,2.39720531E+5,2.33409656E+5,2.35830172E+5,2.35199109E+5,
490.00,1.97737688E+5,2.36728063E+5,2.44720750E+5,2.38989500E+5,2.40645563E+5,2.41462922E+5,
492.00,1.98868859E+5,2.40931531E+5,2.49626281E+5,2.43397906E+5,2.45472359E+5,2.44957328E+5,
494.00,2.01880719E+5,2.43978391E+5,2.51606281E+5,2.46741219E+5,2.48356172E+5,2.49334266E+5,
496.00,2.06148188E+5,2.46595031E+5,2.55091844E+5,2.50313203E+5,2.51712938E+5,2.51843313E+5,
498.00,2.06822500E+5,2.48471563E+5,2.59160000E+5,2.52311359E+5,2.54875344E+5,2.54090844E+5,
500.00,2.09132063E+5,2.49997922E+5,2.58936281E+5,2.53697000E+5,2.55057031E+5,2.56341766E+5,
502.00,2.08250719E+5,2.51270063E+5,2.60139219E+5,2.56502047E+5,2.54676984E+5,2.56911734E+5,
504.00,2.08510109E+5,2.49575625E+5,2.60267406E+5,2.54391125E+5,2.54955750E+5,2.57991453E+5,
506.00,2.08292969E+5,2.50279188E+5,2.59367734E+5,2.54979219E+5,2.56890094E+5,2.57109078E+5,
