Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_3min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.59787598E+2,
402.00,6.27403198E+2,
404.00,6.52967529E+2,
406.00,8.19237244E+2,
408.00,1.95988550E+3,
410.00,3.41202466E+3,
412.00,1.89752795E+3,
414.00,1.21103870E+3,
416.00,1.30738904E+3,
418.00,1.71714270E+3,
420.00,4.59128711E+3,
422.00,7.89743652E+3,
424.00,4.84022363E+3,
426.00,2.64130884E+3,
428.00,2.17348975E+3,
430.00,2.24982495E+3,
432.00,2.44982495E+3,
434.00,2.57010425E+3,
436.00,2.85175317E+3,
438.00,2.90171484E+3,
440.00,3.19323145E+3,
442.00,3.33473169E+3,
444.00,3.67071606E+3,
446.00,3.70344604E+3,
448.00,4.00869971E+3,
450.00,4.09664063E+3,
452.00,4.22071875E+3,
454.00,4.43720068E+3,
456.00,4.61235498E+3,
458.00,4.62354639E+3,
460.00,4.98026221E+3,
462.00,5.03695654E+3,
464.00,5.15587598E+3,
466.00,5.28505420E+3,
468.00,5.38852002E+3,
470.00,5.53679541E+3,
472.00,5.72662012E+3,
474.00,5.79350098E+3,
476.00,5.88201025E+3,
478.00,6.14964063E+3,
480.00,6.17798096E+3,
482.00,6.15310205E+3,
484.00,6.62690674E+3,
486.00,6.39339307E+3,
488.00,6.54975586E+3,
490.00,6.53368311E+3,
492.00,6.82992725E+3,
494.00,7.02296973E+3,
496.00,7.16461377E+3,
498.00,7.56824268E+3,
500.00,7.98929395E+3,
502.00,8.32286523E+3,
504.00,8.95890234E+3,
506.00,9.90850586E+3,
508.00,1.05952314E+4,
510.00,1.21134189E+4,
512.00,1.31353955E+4,
514.00,1.54038926E+4,
516.00,1.74667031E+4,
518.00,1.96092461E+4,
520.00,2.26256152E+4,
522.00,2.60387188E+4,
524.00,2.99339648E+4,
526.00,3.39526797E+4,
528.00,3.94837461E+4,
530.00,4.43286641E+4,
532.00,5.11835938E+4,
534.00,5.75143398E+4,
536.00,6.46129297E+4,
538.00,7.22620234E+4,
540.00,8.06623047E+4,
542.00,9.08265000E+4,
544.00,1.00174984E+5,
546.00,1.09625219E+5,
548.00,1.21456695E+5,
550.00,1.31833375E+5,
552.00,1.43737453E+5,
554.00,1.55079469E+5,
556.00,1.68872891E+5,
558.00,1.80819313E+5,
560.00,1.94582828E+5,
562.00,2.07633453E+5,
564.00,2.23017594E+5,
566.00,2.36601969E+5,
568.00,2.49251172E+5,
570.00,2.65390375E+5,
572.00,2.80504188E+5,
574.00,2.92540750E+5,
576.00,3.05131719E+5,
578.00,3.15790063E+5,
580.00,3.30346313E+5,
582.00,3.42063688E+5,
584.00,3.56730063E+5,
586.00,3.68675344E+5,
588.00,3.78726250E+5,
590.00,3.87871844E+5,
592.00,3.99531313E+5,
594.00,4.05535531E+5,
596.00,4.13414656E+5,
598.00,4.24018563E+5,
600.00,4.29889656E+5,
602.00,4.35073469E+5,
604.00,4.40765219E+5,
606.00,4.47105375E+5,
608.00,4.51112156E+5,
610.00,4.53298313E+5,
612.00,4.60267500E+5,
614.00,4.62432000E+5,
616.00,4.64451594E+5,
618.00,4.64513469E+5,
620.00,4.64370063E+5,
622.00,4.67720656E+5,
624.00,4.64503281E+5,
626.00,4.65430125E+5,
628.00,4.63814125E+5,
630.00,4.65397844E+5,
632.00,4.60940969E+5,
634.00,4.61509781E+5,
636.00,4.58841156E+5,
638.00,4.54824938E+5,
640.00,4.48964094E+5,
642.00,4.45663563E+5,
644.00,4.42300344E+5,
646.00,4.39692625E+5,
648.00,4.29650031E+5,
650.00,4.24494688E+5,
652.00,4.23758406E+5,
654.00,4.16008563E+5,
656.00,4.11357375E+5,
658.00,4.05037531E+5,
660.00,3.98870250E+5,
662.00,3.94230469E+5,
664.00,3.90140656E+5,
666.00,3.82773406E+5,
668.00,3.75255313E+5,
670.00,3.66290125E+5,
672.00,3.61228531E+5,
674.00,3.54077438E+5,
676.00,3.44869125E+5,
678.00,3.38508688E+5,
680.00,3.30030594E+5,
682.00,3.29071594E+5,
684.00,3.18286406E+5,
686.00,3.13645781E+5,
688.00,3.06650563E+5,
690.00,2.99727813E+5,
692.00,2.93896969E+5,
694.00,2.85067313E+5,
696.00,2.79689594E+5,
698.00,2.74549156E+5,
700.00,2.67590406E+5,
702.00,2.60691609E+5,
704.00,2.59495719E+5,
706.00,2.49966000E+5,
708.00,2.46143750E+5,
710.00,2.37832594E+5,
712.00,2.32475234E+5,
714.00,2.27020766E+5,
716.00,2.19938047E+5,
718.00,2.19568797E+5,
720.00,2.13161250E+5,
722.00,2.06589438E+5,
724.00,2.03487688E+5,
726.00,1.94970000E+5,
728.00,1.88608781E+5,
730.00,1.86557797E+5,
732.00,1.84716578E+5,
734.00,1.76461000E+5,
736.00,1.73569156E+5,
738.00,1.73336313E+5,
740.00,1.63219141E+5,
742.00,1.62960906E+5,
744.00,1.53587063E+5,
746.00,1.53628688E+5,
748.00,1.48016797E+5,
750.00,1.43482859E+5,
752.00,1.41308000E+5,
754.00,1.33981500E+5,
756.00,1.31518391E+5,
758.00,1.29637813E+5,
760.00,1.29181281E+5,
762.00,1.22024945E+5,
764.00,1.22229242E+5,
766.00,1.12511305E+5,
768.00,1.10581922E+5,
770.00,1.10494719E+5,
772.00,1.03313297E+5,
774.00,1.03155000E+5,
776.00,9.86072266E+4,
778.00,9.77551875E+4,
780.00,9.36499297E+4,
782.00,9.18166719E+4,
784.00,8.97960234E+4,
786.00,8.84804922E+4,
788.00,8.32543203E+4,
790.00,8.21821953E+4,
792.00,7.59783047E+4,
794.00,7.60292578E+4,
796.00,7.33589375E+4,
798.00,7.37942500E+4,
800.00,7.04971719E+4,
802.00,6.86505469E+4,
804.00,6.40086250E+4,
806.00,6.47502305E+4,
808.00,6.24865781E+4,
810.00,5.82621953E+4,
812.00,6.13200156E+4,
814.00,5.94067422E+4,
816.00,5.56708750E+4,
818.00,5.23849844E+4,
820.00,5.11726484E+4,
822.00,5.04139805E+4,
824.00,4.95412969E+4,
826.00,4.64153711E+4,
828.00,4.51567773E+4,
830.00,4.29417695E+4,
832.00,3.78293555E+4,
834.00,4.31598281E+4,
836.00,4.00112148E+4,
838.00,3.96124102E+4,
840.00,3.65296484E+4,
842.00,3.74097461E+4,
844.00,3.70280781E+4,
846.00,3.47898984E+4,
848.00,3.52190195E+4,
850.00,3.33296484E+4,
