Labels,1909_ZFFL55_AAN155_1E-5_ACN_exc375_2minAr,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,8.14421875E+2,
402.00,9.51955200E+2,
404.00,9.95897278E+2,
406.00,1.30962048E+3,
408.00,2.56702783E+3,
410.00,4.01418555E+3,
412.00,3.12005200E+3,
414.00,3.13225854E+3,
416.00,4.13820801E+3,
418.00,5.15508447E+3,
420.00,8.62669824E+3,
422.00,1.24076660E+4,
424.00,1.17337285E+4,
426.00,1.19650059E+4,
428.00,1.39814590E+4,
430.00,1.61289443E+4,
432.00,1.99588652E+4,
434.00,2.30717559E+4,
436.00,2.78025547E+4,
438.00,3.21697344E+4,
440.00,3.73245938E+4,
442.00,4.30503438E+4,
444.00,4.95519453E+4,
446.00,5.65573750E+4,
448.00,6.39605156E+4,
450.00,7.13235625E+4,
452.00,7.90714453E+4,
454.00,8.70714063E+4,
456.00,9.55299141E+4,
458.00,1.05786453E+5,
460.00,1.14620281E+5,
462.00,1.24731469E+5,
464.00,1.34951422E+5,
466.00,1.44557781E+5,
468.00,1.56464281E+5,
470.00,1.66522125E+5,
472.00,1.74848406E+5,
474.00,1.85198031E+5,
476.00,1.95303203E+5,
478.00,2.02499469E+5,
480.00,2.10907297E+5,
482.00,2.19416734E+5,
484.00,2.27353766E+5,
486.00,2.32280875E+5,
488.00,2.39720531E+5,
490.00,2.44720750E+5,
492.00,2.49626281E+5,
494.00,2.51606281E+5,
496.00,2.55091844E+5,
498.00,2.59160000E+5,
500.00,2.58936281E+5,
502.00,2.60139219E+5,
504.00,2.60267406E+5,
506.00,2.59367734E+5,
508.00,2.57773406E+5,
510.00,2.56122000E+5,
512.00,2.56590125E+5,
514.00,2.51784891E+5,
516.00,2.49737422E+5,
518.00,2.45609531E+5,
520.00,2.42993859E+5,
522.00,2.40099219E+5,
524.00,2.34182500E+5,
526.00,2.31851828E+5,
528.00,2.25932344E+5,
530.00,2.23186375E+5,
532.00,2.18611750E+5,
534.00,2.14890000E+5,
536.00,2.10565641E+5,
538.00,2.06992844E+5,
540.00,2.01069109E+5,
542.00,1.98050703E+5,
544.00,1.94354688E+5,
546.00,1.91557469E+5,
548.00,1.87441391E+5,
550.00,1.82954172E+5,
552.00,1.80377875E+5,
554.00,1.77137234E+5,
556.00,1.74081656E+5,
558.00,1.70530688E+5,
560.00,1.66708266E+5,
562.00,1.65938344E+5,
564.00,1.64457281E+5,
566.00,1.61661109E+5,
568.00,1.59316922E+5,
570.00,1.56576578E+5,
572.00,1.55840547E+5,
574.00,1.52587125E+5,
576.00,1.49728109E+5,
578.00,1.49685188E+5,
580.00,1.48356469E+5,
582.00,1.47060156E+5,
584.00,1.45129328E+5,
586.00,1.43250109E+5,
588.00,1.42060266E+5,
590.00,1.44173625E+5,
592.00,1.40038219E+5,
594.00,1.40338375E+5,
596.00,1.38744531E+5,
598.00,1.37374203E+5,
600.00,1.36558172E+5,
602.00,1.33664391E+5,
604.00,1.34729828E+5,
606.00,1.32358266E+5,
608.00,1.32602969E+5,
610.00,1.30850070E+5,
612.00,1.29613039E+5,
614.00,1.27914281E+5,
616.00,1.28183461E+5,
618.00,1.26684961E+5,
620.00,1.24871781E+5,
622.00,1.22156711E+5,
624.00,1.22998063E+5,
626.00,1.21995273E+5,
628.00,1.19220695E+5,
630.00,1.20365648E+5,
632.00,1.17524148E+5,
634.00,1.17094531E+5,
636.00,1.16575234E+5,
638.00,1.14247141E+5,
640.00,1.12208789E+5,
642.00,1.11687922E+5,
644.00,1.09424125E+5,
646.00,1.11036820E+5,
648.00,1.07355914E+5,
650.00,1.06864211E+5,
652.00,1.04516266E+5,
654.00,1.02584453E+5,
656.00,1.02707336E+5,
658.00,1.00404320E+5,
660.00,9.87951172E+4,
662.00,9.68329609E+4,
664.00,9.64350781E+4,
666.00,9.36802344E+4,
668.00,9.38730391E+4,
670.00,9.09847500E+4,
672.00,8.92662656E+4,
674.00,8.69532500E+4,
676.00,8.55976484E+4,
678.00,8.51107422E+4,
680.00,8.33400313E+4,
682.00,8.29192969E+4,
684.00,8.06567578E+4,
686.00,7.85803281E+4,
688.00,7.61811641E+4,
690.00,7.62208750E+4,
692.00,7.45917734E+4,
694.00,7.41780781E+4,
696.00,7.23953047E+4,
698.00,6.90309141E+4,
700.00,7.11161484E+4,
702.00,6.86627031E+4,
704.00,6.75955313E+4,
706.00,6.67210938E+4,
708.00,6.45907422E+4,
710.00,6.48206406E+4,
712.00,6.35193750E+4,
714.00,6.10921367E+4,
716.00,5.98390195E+4,
718.00,5.80871758E+4,
720.00,5.72768906E+4,
722.00,5.76446406E+4,
724.00,5.40183086E+4,
726.00,5.45141250E+4,
728.00,5.26782656E+4,
730.00,5.03894219E+4,
732.00,4.99188398E+4,
734.00,4.91238047E+4,
736.00,4.92115977E+4,
738.00,4.69687539E+4,
740.00,4.78663828E+4,
742.00,4.52183398E+4,
744.00,4.38840781E+4,
746.00,4.35160078E+4,
748.00,4.04078789E+4,
750.00,4.18855078E+4,
752.00,4.03315625E+4,
754.00,3.95999141E+4,
756.00,3.94529727E+4,
758.00,3.80821523E+4,
760.00,3.65933516E+4,
762.00,3.62461797E+4,
764.00,3.45605859E+4,
766.00,3.41988672E+4,
768.00,3.19047188E+4,
770.00,3.26521641E+4,
772.00,3.02582188E+4,
774.00,3.18657930E+4,
776.00,2.97576836E+4,
778.00,3.07456660E+4,
780.00,2.89416680E+4,
782.00,2.78204102E+4,
784.00,2.84875605E+4,
786.00,2.70143809E+4,
788.00,2.58369434E+4,
790.00,2.56641113E+4,
792.00,2.53132969E+4,
794.00,2.15243301E+4,
796.00,2.33774844E+4,
798.00,2.27084922E+4,
800.00,2.27414219E+4,
802.00,2.19450859E+4,
804.00,2.06102305E+4,
806.00,1.94035938E+4,
808.00,1.84388652E+4,
810.00,1.92297617E+4,
812.00,2.02041543E+4,
814.00,1.95817441E+4,
816.00,1.72916113E+4,
818.00,1.77845137E+4,
820.00,1.73951055E+4,
822.00,1.53906152E+4,
824.00,1.46222490E+4,
826.00,1.62929268E+4,
828.00,1.39544619E+4,
830.00,1.50624180E+4,
832.00,1.45893232E+4,
834.00,1.28505049E+4,
836.00,1.30548887E+4,
838.00,1.35303613E+4,
840.00,1.30113281E+4,
842.00,1.28713535E+4,
844.00,1.25767480E+4,
846.00,1.16593467E+4,
848.00,1.05117148E+4,
850.00,1.06856514E+4,
