Labels,1909_ZFFL55_AAN155_1E-5_ACN_exc375_1minAr,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,7.15149841E+2,
402.00,8.01884155E+2,
404.00,9.08682495E+2,
406.00,1.18781982E+3,
408.00,2.43533301E+3,
410.00,3.80260767E+3,
412.00,3.17443066E+3,
414.00,3.04699341E+3,
416.00,3.88016113E+3,
418.00,4.99468164E+3,
420.00,8.19430176E+3,
422.00,1.23012090E+4,
424.00,1.12195518E+4,
426.00,1.15807578E+4,
428.00,1.34121143E+4,
430.00,1.59647354E+4,
432.00,1.93289629E+4,
434.00,2.24252539E+4,
436.00,2.65715977E+4,
438.00,3.11083320E+4,
440.00,3.64676563E+4,
442.00,4.22587617E+4,
444.00,4.78583008E+4,
446.00,5.49925625E+4,
448.00,6.18005195E+4,
450.00,6.95413047E+4,
452.00,7.66748594E+4,
454.00,8.46206406E+4,
456.00,9.26381172E+4,
458.00,1.01905727E+5,
460.00,1.11158500E+5,
462.00,1.21145805E+5,
464.00,1.30456883E+5,
466.00,1.40499750E+5,
468.00,1.51061266E+5,
470.00,1.60742953E+5,
472.00,1.70520234E+5,
474.00,1.78917828E+5,
476.00,1.88809797E+5,
478.00,1.96646156E+5,
480.00,2.04829969E+5,
482.00,2.11649906E+5,
484.00,2.17787563E+5,
486.00,2.24554438E+5,
488.00,2.33804609E+5,
490.00,2.36728063E+5,
492.00,2.40931531E+5,
494.00,2.43978391E+5,
496.00,2.46595031E+5,
498.00,2.48471563E+5,
500.00,2.49997922E+5,
502.00,2.51270063E+5,
504.00,2.49575625E+5,
506.00,2.50279188E+5,
508.00,2.48586969E+5,
510.00,2.47778000E+5,
512.00,2.46676984E+5,
514.00,2.43253906E+5,
516.00,2.38902156E+5,
518.00,2.35907250E+5,
520.00,2.31653625E+5,
522.00,2.27046188E+5,
524.00,2.24210484E+5,
526.00,2.20919453E+5,
528.00,2.16545828E+5,
530.00,2.11386656E+5,
532.00,2.07742172E+5,
534.00,2.02447828E+5,
536.00,2.00181406E+5,
538.00,1.95081375E+5,
540.00,1.91070469E+5,
542.00,1.86997406E+5,
544.00,1.82811781E+5,
546.00,1.79035625E+5,
548.00,1.74722953E+5,
550.00,1.70983734E+5,
552.00,1.68511969E+5,
554.00,1.64051281E+5,
556.00,1.60790141E+5,
558.00,1.58363078E+5,
560.00,1.54922281E+5,
562.00,1.52221328E+5,
564.00,1.49516766E+5,
566.00,1.46511094E+5,
568.00,1.44156063E+5,
570.00,1.42056031E+5,
572.00,1.40158797E+5,
574.00,1.37452844E+5,
576.00,1.36235406E+5,
578.00,1.35362328E+5,
580.00,1.32720797E+5,
582.00,1.29199797E+5,
584.00,1.29847813E+5,
586.00,1.27897781E+5,
588.00,1.25465625E+5,
590.00,1.24188477E+5,
592.00,1.24034391E+5,
594.00,1.21767852E+5,
596.00,1.19309539E+5,
598.00,1.18434609E+5,
600.00,1.16087813E+5,
602.00,1.15508898E+5,
604.00,1.14753836E+5,
606.00,1.12531336E+5,
608.00,1.11200648E+5,
610.00,1.11389781E+5,
612.00,1.10102508E+5,
614.00,1.07089188E+5,
616.00,1.06240820E+5,
618.00,1.04693133E+5,
620.00,1.03809289E+5,
622.00,1.03822375E+5,
624.00,9.98919297E+4,
626.00,9.89416641E+4,
628.00,9.72764453E+4,
630.00,9.71832500E+4,
632.00,9.53390313E+4,
634.00,9.51031797E+4,
636.00,9.49819766E+4,
638.00,9.12998125E+4,
640.00,9.02727344E+4,
642.00,8.91464688E+4,
644.00,8.77424766E+4,
646.00,8.65413906E+4,
648.00,8.44932266E+4,
650.00,8.37260703E+4,
652.00,8.30137891E+4,
654.00,8.07175156E+4,
656.00,7.86507891E+4,
658.00,7.69339688E+4,
660.00,7.71571875E+4,
662.00,7.52355156E+4,
664.00,7.47022969E+4,
666.00,7.16636953E+4,
668.00,7.10381094E+4,
670.00,7.08016484E+4,
672.00,6.85760234E+4,
674.00,6.67815703E+4,
676.00,6.53522227E+4,
678.00,6.32810742E+4,
680.00,6.35006680E+4,
682.00,6.16375938E+4,
684.00,6.02380195E+4,
686.00,5.84512813E+4,
688.00,5.88786875E+4,
690.00,5.83058047E+4,
692.00,5.60941250E+4,
694.00,5.43033398E+4,
696.00,5.39239609E+4,
698.00,5.32418750E+4,
700.00,4.99223789E+4,
702.00,5.01026523E+4,
704.00,4.86861875E+4,
706.00,4.84587773E+4,
708.00,4.62183711E+4,
710.00,4.62408086E+4,
712.00,4.46803477E+4,
714.00,4.31928438E+4,
716.00,4.26049688E+4,
718.00,4.16556641E+4,
720.00,3.99826602E+4,
722.00,4.02039688E+4,
724.00,3.89699805E+4,
726.00,3.88024570E+4,
728.00,3.72844258E+4,
730.00,3.71304414E+4,
732.00,3.53982383E+4,
734.00,3.55533320E+4,
736.00,3.41720977E+4,
738.00,3.36419727E+4,
740.00,3.30103359E+4,
742.00,3.33309180E+4,
744.00,3.15746680E+4,
746.00,2.95308984E+4,
748.00,2.99065488E+4,
750.00,2.82728633E+4,
752.00,2.78116387E+4,
754.00,2.78604043E+4,
756.00,2.48485117E+4,
758.00,2.48694375E+4,
760.00,2.64477285E+4,
762.00,2.52398320E+4,
764.00,2.45547109E+4,
766.00,2.39743340E+4,
768.00,2.44507734E+4,
770.00,2.14846055E+4,
772.00,2.26440762E+4,
774.00,2.06337891E+4,
776.00,2.05548066E+4,
778.00,1.95928652E+4,
780.00,1.80786191E+4,
782.00,1.88622734E+4,
784.00,1.93031309E+4,
786.00,1.88314023E+4,
788.00,1.69157754E+4,
790.00,1.73826816E+4,
792.00,1.65243262E+4,
794.00,1.67863340E+4,
796.00,1.60832588E+4,
798.00,1.55965430E+4,
800.00,1.36693184E+4,
802.00,1.32518525E+4,
804.00,1.45738848E+4,
806.00,1.31185146E+4,
808.00,1.39841191E+4,
810.00,1.31055840E+4,
812.00,1.22099531E+4,
814.00,1.22528242E+4,
816.00,1.24325078E+4,
818.00,1.16790000E+4,
820.00,1.13293506E+4,
822.00,1.20260957E+4,
824.00,1.12041885E+4,
826.00,1.05363760E+4,
828.00,1.07823496E+4,
830.00,9.86046387E+3,
832.00,9.53305371E+3,
834.00,8.94274219E+3,
836.00,9.37435059E+3,
838.00,8.70525586E+3,
840.00,8.99922266E+3,
842.00,7.18981689E+3,
844.00,8.54928223E+3,
846.00,7.80618213E+3,
848.00,7.42017871E+3,
850.00,7.49596289E+3,
