Labels,1909_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,8.65925720E+2,
402.00,9.61238159E+2,
404.00,1.08359827E+3,
406.00,1.36725244E+3,
408.00,2.69407568E+3,
410.00,4.06243750E+3,
412.00,3.13778442E+3,
414.00,3.20058179E+3,
416.00,3.88317285E+3,
418.00,5.30800000E+3,
420.00,8.57976953E+3,
422.00,1.21831748E+4,
424.00,1.15422285E+4,
426.00,1.14823311E+4,
428.00,1.33715664E+4,
430.00,1.60062695E+4,
432.00,1.91066387E+4,
434.00,2.27333496E+4,
436.00,2.69727012E+4,
438.00,3.13632148E+4,
440.00,3.60354609E+4,
442.00,4.21004023E+4,
444.00,4.85773867E+4,
446.00,5.56011563E+4,
448.00,6.16782969E+4,
450.00,6.88875625E+4,
452.00,7.73681250E+4,
454.00,8.51274688E+4,
456.00,9.49288750E+4,
458.00,1.02463734E+5,
460.00,1.12208711E+5,
462.00,1.21116234E+5,
464.00,1.32094891E+5,
466.00,1.41570906E+5,
468.00,1.52891688E+5,
470.00,1.61824359E+5,
472.00,1.71697156E+5,
474.00,1.81654234E+5,
476.00,1.89981203E+5,
478.00,1.99696641E+5,
480.00,2.08264188E+5,
482.00,2.14907031E+5,
484.00,2.22768469E+5,
486.00,2.27865688E+5,
488.00,2.35199109E+5,
490.00,2.41462922E+5,
492.00,2.44957328E+5,
494.00,2.49334266E+5,
496.00,2.51843313E+5,
498.00,2.54090844E+5,
500.00,2.56341766E+5,
502.00,2.56911734E+5,
504.00,2.57991453E+5,
506.00,2.57109078E+5,
508.00,2.54796078E+5,
510.00,2.54795094E+5,
512.00,2.53967891E+5,
514.00,2.50874516E+5,
516.00,2.46966234E+5,
518.00,2.43676938E+5,
520.00,2.41272859E+5,
522.00,2.37556781E+5,
524.00,2.33740672E+5,
526.00,2.28541406E+5,
528.00,2.25526828E+5,
530.00,2.22601594E+5,
532.00,2.16957328E+5,
534.00,2.13909750E+5,
536.00,2.10401078E+5,
538.00,2.06482359E+5,
540.00,2.01867250E+5,
542.00,1.97213203E+5,
544.00,1.93396859E+5,
546.00,1.90577703E+5,
548.00,1.86117156E+5,
550.00,1.84308172E+5,
552.00,1.80974719E+5,
554.00,1.77366094E+5,
556.00,1.73884766E+5,
558.00,1.71308922E+5,
560.00,1.69010516E+5,
562.00,1.65676922E+5,
564.00,1.63716016E+5,
566.00,1.61829484E+5,
568.00,1.59794516E+5,
570.00,1.56770703E+5,
572.00,1.55660797E+5,
574.00,1.53189125E+5,
576.00,1.53157047E+5,
578.00,1.51016141E+5,
580.00,1.50117609E+5,
582.00,1.48664109E+5,
584.00,1.46718344E+5,
586.00,1.46409031E+5,
588.00,1.44581266E+5,
590.00,1.43227547E+5,
592.00,1.42463906E+5,
594.00,1.41198563E+5,
596.00,1.39380125E+5,
598.00,1.39806641E+5,
600.00,1.37700047E+5,
602.00,1.35724047E+5,
604.00,1.34491594E+5,
606.00,1.34045875E+5,
608.00,1.33411156E+5,
610.00,1.31591281E+5,
612.00,1.31968156E+5,
614.00,1.30078813E+5,
616.00,1.28335148E+5,
618.00,1.27064375E+5,
620.00,1.26783906E+5,
622.00,1.25347578E+5,
624.00,1.24375844E+5,
626.00,1.22778602E+5,
628.00,1.23250289E+5,
630.00,1.20433898E+5,
632.00,1.18865836E+5,
634.00,1.17734703E+5,
636.00,1.16942344E+5,
638.00,1.14493219E+5,
640.00,1.13607469E+5,
642.00,1.12065453E+5,
644.00,1.10925773E+5,
646.00,1.10797688E+5,
648.00,1.08353078E+5,
650.00,1.08104578E+5,
652.00,1.06454672E+5,
654.00,1.04785188E+5,
656.00,1.04408297E+5,
658.00,9.99349063E+4,
660.00,9.96850391E+4,
662.00,9.72451406E+4,
664.00,9.84535313E+4,
666.00,9.53545781E+4,
668.00,9.36147031E+4,
670.00,9.30074766E+4,
672.00,9.12317578E+4,
674.00,8.96697188E+4,
676.00,8.90168672E+4,
678.00,8.56275391E+4,
680.00,8.37887344E+4,
682.00,8.16586875E+4,
684.00,8.13665313E+4,
686.00,7.99788125E+4,
688.00,7.92449766E+4,
690.00,7.68418125E+4,
692.00,7.56861172E+4,
694.00,7.42241641E+4,
696.00,7.27031563E+4,
698.00,7.18885000E+4,
700.00,7.09032500E+4,
702.00,6.71914609E+4,
704.00,6.67760234E+4,
706.00,6.62068594E+4,
708.00,6.54954570E+4,
710.00,6.49975195E+4,
712.00,6.37976016E+4,
714.00,6.04328164E+4,
716.00,6.03078438E+4,
718.00,5.92839336E+4,
720.00,5.71660547E+4,
722.00,5.60690078E+4,
724.00,5.44326133E+4,
726.00,5.43490977E+4,
728.00,5.24257695E+4,
730.00,5.08196758E+4,
732.00,5.01497539E+4,
734.00,4.90237500E+4,
736.00,4.84176289E+4,
738.00,4.83803594E+4,
740.00,4.68190039E+4,
742.00,4.57210117E+4,
744.00,4.49485039E+4,
746.00,4.29855625E+4,
748.00,4.20681797E+4,
750.00,4.36365508E+4,
752.00,3.91938203E+4,
754.00,4.05249961E+4,
756.00,3.72282344E+4,
758.00,3.62169492E+4,
760.00,3.80229570E+4,
762.00,3.63716563E+4,
764.00,3.63283164E+4,
766.00,3.50928750E+4,
768.00,3.31140117E+4,
770.00,3.30875586E+4,
772.00,2.96603984E+4,
774.00,2.97761133E+4,
776.00,3.21589277E+4,
778.00,2.98886113E+4,
780.00,2.91128906E+4,
782.00,2.97130566E+4,
784.00,2.85726133E+4,
786.00,2.68966035E+4,
788.00,2.49604336E+4,
790.00,2.38863535E+4,
792.00,2.45228906E+4,
794.00,2.38120078E+4,
796.00,2.26906758E+4,
798.00,2.09295078E+4,
800.00,2.05160430E+4,
802.00,2.07473184E+4,
804.00,2.06564180E+4,
806.00,2.18500898E+4,
808.00,2.00629512E+4,
810.00,1.74388945E+4,
812.00,1.94692148E+4,
814.00,1.76465625E+4,
816.00,1.75995957E+4,
818.00,1.72817734E+4,
820.00,1.70059727E+4,
822.00,1.69117402E+4,
824.00,1.46501914E+4,
826.00,1.68113945E+4,
828.00,1.50955420E+4,
830.00,1.40514102E+4,
832.00,1.37395498E+4,
834.00,1.41881123E+4,
836.00,1.46139316E+4,
838.00,1.34504971E+4,
840.00,1.45382559E+4,
842.00,1.22909531E+4,
844.00,1.27049678E+4,
846.00,1.24548828E+4,
848.00,1.21488105E+4,
850.00,1.28801963E+4,
