Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_5min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.94512085E+2,
402.00,6.79019531E+2,
404.00,7.64220703E+2,
406.00,8.66385925E+2,
408.00,2.16970142E+3,
410.00,3.51180054E+3,
412.00,1.92218481E+3,
414.00,1.25639856E+3,
416.00,1.36719604E+3,
418.00,1.96760071E+3,
420.00,4.46791699E+3,
422.00,7.81572754E+3,
424.00,4.80655420E+3,
426.00,2.75860278E+3,
428.00,2.41308179E+3,
430.00,2.46091431E+3,
432.00,2.67892139E+3,
434.00,2.85062427E+3,
436.00,2.80706592E+3,
438.00,3.12657666E+3,
440.00,3.27832324E+3,
442.00,3.51131055E+3,
444.00,3.84125366E+3,
446.00,3.97594434E+3,
448.00,4.01938135E+3,
450.00,4.38306201E+3,
452.00,4.46834521E+3,
454.00,4.69792578E+3,
456.00,4.96844434E+3,
458.00,4.99408643E+3,
460.00,5.06633887E+3,
462.00,5.19782373E+3,
464.00,5.38857129E+3,
466.00,5.59352783E+3,
468.00,5.70596338E+3,
470.00,5.73749170E+3,
472.00,5.81810889E+3,
474.00,6.07419238E+3,
476.00,6.09430273E+3,
478.00,6.25001074E+3,
480.00,6.64277051E+3,
482.00,6.44931201E+3,
484.00,6.40175928E+3,
486.00,6.69454980E+3,
488.00,6.74684766E+3,
490.00,6.67722266E+3,
492.00,7.06846143E+3,
494.00,7.15663916E+3,
496.00,7.45551514E+3,
498.00,7.81381836E+3,
500.00,8.02790381E+3,
502.00,8.51752051E+3,
504.00,9.20017773E+3,
506.00,9.60092773E+3,
508.00,1.09880898E+4,
510.00,1.16687979E+4,
512.00,1.35636367E+4,
514.00,1.49711875E+4,
516.00,1.64952500E+4,
518.00,1.91841172E+4,
520.00,2.18475938E+4,
522.00,2.48165996E+4,
524.00,2.89905859E+4,
526.00,3.24618691E+4,
528.00,3.79780547E+4,
530.00,4.27492383E+4,
532.00,4.80611445E+4,
534.00,5.40543125E+4,
536.00,6.15319414E+4,
538.00,6.92396016E+4,
540.00,7.67074141E+4,
542.00,8.58354141E+4,
544.00,9.39174375E+4,
546.00,1.03919016E+5,
548.00,1.13128742E+5,
550.00,1.23556875E+5,
552.00,1.34997063E+5,
554.00,1.46036328E+5,
556.00,1.58837094E+5,
558.00,1.70509266E+5,
560.00,1.83362141E+5,
562.00,1.95679234E+5,
564.00,2.07799109E+5,
566.00,2.19856891E+5,
568.00,2.33834234E+5,
570.00,2.49404281E+5,
572.00,2.58592141E+5,
574.00,2.74624063E+5,
576.00,2.84883906E+5,
578.00,2.96738906E+5,
580.00,3.08391719E+5,
582.00,3.23421063E+5,
584.00,3.35371656E+5,
586.00,3.45287938E+5,
588.00,3.52274469E+5,
590.00,3.61921531E+5,
592.00,3.71226000E+5,
594.00,3.82247500E+5,
596.00,3.88796563E+5,
598.00,3.96223875E+5,
600.00,4.04431969E+5,
602.00,4.06493938E+5,
604.00,4.15024250E+5,
606.00,4.19826906E+5,
608.00,4.25371438E+5,
610.00,4.25822125E+5,
612.00,4.28364719E+5,
614.00,4.31482313E+5,
616.00,4.32997219E+5,
618.00,4.34615719E+5,
620.00,4.32419406E+5,
622.00,4.37752125E+5,
624.00,4.36569313E+5,
626.00,4.34271813E+5,
628.00,4.35361156E+5,
630.00,4.32954594E+5,
632.00,4.33219938E+5,
634.00,4.32757813E+5,
636.00,4.26920438E+5,
638.00,4.25913875E+5,
640.00,4.20225031E+5,
642.00,4.15770906E+5,
644.00,4.14640531E+5,
646.00,4.09999719E+5,
648.00,4.05111000E+5,
650.00,3.99887656E+5,
652.00,3.96675469E+5,
654.00,3.88656281E+5,
656.00,3.85003719E+5,
658.00,3.80626938E+5,
660.00,3.74794281E+5,
662.00,3.67658438E+5,
664.00,3.61438625E+5,
666.00,3.59269813E+5,
668.00,3.53386969E+5,
670.00,3.43470344E+5,
672.00,3.36073281E+5,
674.00,3.31200938E+5,
676.00,3.22835625E+5,
678.00,3.17412313E+5,
680.00,3.12345813E+5,
682.00,2.99325094E+5,
684.00,2.95650188E+5,
686.00,2.95926969E+5,
688.00,2.84798813E+5,
690.00,2.82820125E+5,
692.00,2.74322000E+5,
694.00,2.69165781E+5,
696.00,2.62200094E+5,
698.00,2.57462172E+5,
700.00,2.51447563E+5,
702.00,2.46210797E+5,
704.00,2.40065719E+5,
706.00,2.38014844E+5,
708.00,2.31392219E+5,
710.00,2.23753406E+5,
712.00,2.19327625E+5,
714.00,2.14389750E+5,
716.00,2.08537063E+5,
718.00,2.05555719E+5,
720.00,1.97564359E+5,
722.00,1.94408891E+5,
724.00,1.90848891E+5,
726.00,1.84835359E+5,
728.00,1.79359797E+5,
730.00,1.79081578E+5,
732.00,1.71706859E+5,
734.00,1.67150875E+5,
736.00,1.62750531E+5,
738.00,1.57132172E+5,
740.00,1.55815984E+5,
742.00,1.49394203E+5,
744.00,1.47270578E+5,
746.00,1.42986734E+5,
748.00,1.40545375E+5,
750.00,1.33035688E+5,
752.00,1.33986031E+5,
754.00,1.27190859E+5,
756.00,1.25886734E+5,
758.00,1.20097563E+5,
760.00,1.18392391E+5,
762.00,1.13426672E+5,
764.00,1.12724039E+5,
766.00,1.08971203E+5,
768.00,1.04346242E+5,
770.00,1.03111586E+5,
772.00,9.80649219E+4,
774.00,9.76719141E+4,
776.00,9.05201250E+4,
778.00,9.26845391E+4,
780.00,8.71062344E+4,
782.00,8.63184688E+4,
784.00,8.09949453E+4,
786.00,7.98019766E+4,
788.00,7.89501797E+4,
790.00,7.70445703E+4,
792.00,7.40066094E+4,
794.00,6.99174141E+4,
796.00,6.79345000E+4,
798.00,6.71542344E+4,
800.00,6.66661719E+4,
802.00,6.46226953E+4,
804.00,6.22677461E+4,
806.00,6.15977813E+4,
808.00,5.76493672E+4,
810.00,5.86853242E+4,
812.00,5.82359453E+4,
814.00,5.29035000E+4,
816.00,5.29080508E+4,
818.00,5.43285469E+4,
820.00,5.11684219E+4,
822.00,4.49477695E+4,
824.00,4.71978594E+4,
826.00,4.24188750E+4,
828.00,4.18611523E+4,
830.00,4.12323516E+4,
832.00,4.11821016E+4,
834.00,4.15942734E+4,
836.00,3.73046289E+4,
838.00,3.58153750E+4,
840.00,3.43774414E+4,
842.00,3.20486035E+4,
844.00,3.16864707E+4,
846.00,3.36586719E+4,
848.00,3.30704570E+4,
850.00,3.01399102E+4,
