2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_ALL

Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_O2,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_1min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_2min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_3min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_4min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_5min,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

478.00,5.12318457E+3,5.56546289E+3,5.76303027E+3,6.14964063E+3,6.12310889E+3,6.25001074E+3,
480.00,5.12186035E+3,5.52139502E+3,5.94785693E+3,6.17798096E+3,6.15489844E+3,6.64277051E+3,
482.00,5.17764795E+3,5.75743018E+3,6.05096582E+3,6.15310205E+3,6.40610400E+3,6.44931201E+3,
484.00,5.20084473E+3,5.77981982E+3,6.11974854E+3,6.62690674E+3,6.40813428E+3,6.40175928E+3,
486.00,5.29757031E+3,5.96908887E+3,6.29340088E+3,6.39339307E+3,6.47021826E+3,6.69454980E+3,
488.00,5.35139014E+3,6.00854590E+3,6.18019775E+3,6.54975586E+3,6.89011426E+3,6.74684766E+3,
490.00,5.25258350E+3,5.91011133E+3,6.63549854E+3,6.53368311E+3,6.93689404E+3,6.67722266E+3,
492.00,5.34172168E+3,6.25749561E+3,6.57916748E+3,6.82992725E+3,6.98458398E+3,7.06846143E+3,
494.00,5.38340039E+3,6.30677881E+3,6.80741455E+3,7.02296973E+3,7.22723438E+3,7.15663916E+3,
496.00,5.48055127E+3,6.56424463E+3,6.92960889E+3,7.16461377E+3,7.65692773E+3,7.45551514E+3,
498.00,5.34076807E+3,6.86853613E+3,7.33427686E+3,7.56824268E+3,7.87483496E+3,7.81381836E+3,
500.00,5.55257275E+3,7.12443750E+3,7.38190674E+3,7.98929395E+3,7.94420752E+3,8.02790381E+3,
502.00,5.67620361E+3,7.32654785E+3,7.83745068E+3,8.32286523E+3,8.65362500E+3,8.51752051E+3,
504.00,5.50347168E+3,8.17108936E+3,8.19013574E+3,8.95890234E+3,9.18777539E+3,9.20017773E+3,
506.00,5.45280908E+3,8.71600000E+3,8.89263086E+3,9.90850586E+3,9.59156543E+3,9.60092773E+3,
508.00,5.61758301E+3,9.10143750E+3,9.51465234E+3,1.05952314E+4,1.05943271E+4,1.09880898E+4,
510.00,5.68654883E+3,1.02866592E+4,1.06863477E+4,1.21134189E+4,1.16460635E+4,1.16687979E+4,
512.00,5.88384082E+3,1.11911660E+4,1.18954326E+4,1.31353955E+4,1.35563037E+4,1.35636367E+4,
514.00,5.93171436E+3,1.24967783E+4,1.29418037E+4,1.54038926E+4,1.52343037E+4,1.49711875E+4,
516.00,6.21515674E+3,1.41903662E+4,1.47798604E+4,1.74667031E+4,1.71813633E+4,1.64952500E+4,
518.00,6.22585498E+3,1.63510957E+4,1.68715918E+4,1.96092461E+4,1.96730371E+4,1.91841172E+4,
520.00,6.79131396E+3,1.82093477E+4,1.87570801E+4,2.26256152E+4,2.23840664E+4,2.18475938E+4,
522.00,7.35127246E+3,2.06160645E+4,2.17748184E+4,2.60387188E+4,2.54815820E+4,2.48165996E+4,
524.00,7.38712500E+3,2.33453496E+4,2.49899902E+4,2.99339648E+4,2.93413945E+4,2.89905859E+4,
526.00,8.04477344E+3,2.69188965E+4,2.83634609E+4,3.39526797E+4,3.33479727E+4,3.24618691E+4,
528.00,8.42229297E+3,3.06645352E+4,3.22039355E+4,3.94837461E+4,3.78340000E+4,3.79780547E+4,
530.00,9.23014648E+3,3.42800039E+4,3.63165586E+4,4.43286641E+4,4.39026641E+4,4.27492383E+4,
532.00,9.55657031E+3,3.87450742E+4,4.10652305E+4,5.11835938E+4,4.93903359E+4,4.80611445E+4,
534.00,1.04158340E+4,4.32271719E+4,4.66574609E+4,5.75143398E+4,5.57616484E+4,5.40543125E+4,
536.00,1.14169932E+4,4.90453320E+4,5.22162148E+4,6.46129297E+4,6.32747148E+4,6.15319414E+4,
538.00,1.21158076E+4,5.49539727E+4,5.83928398E+4,7.22620234E+4,7.08714375E+4,6.92396016E+4,
540.00,1.29819590E+4,6.20679844E+4,6.51326523E+4,8.06623047E+4,7.90416875E+4,7.67074141E+4,
542.00,1.40539727E+4,6.83604063E+4,7.23585547E+4,9.08265000E+4,8.91067500E+4,8.58354141E+4,
544.00,1.50138262E+4,7.49137422E+4,7.91260000E+4,1.00174984E+5,9.78043594E+4,9.39174375E+4,
546.00,1.61285938E+4,8.28246953E+4,8.71862734E+4,1.09625219E+5,1.07269805E+5,1.03919016E+5,
548.00,1.75648633E+4,9.11969688E+4,9.62036172E+4,1.21456695E+5,1.17132086E+5,1.13128742E+5,
550.00,1.83483340E+4,9.87797188E+4,1.04756367E+5,1.31833375E+5,1.27729781E+5,1.23556875E+5,
552.00,1.94367793E+4,1.07163180E+5,1.14070242E+5,1.43737453E+5,1.40378641E+5,1.34997063E+5,
554.00,2.12494395E+4,1.17014828E+5,1.22252031E+5,1.55079469E+5,1.50973688E+5,1.46036328E+5,
556.00,2.22386582E+4,1.27515688E+5,1.33009969E+5,1.68872891E+5,1.63255375E+5,1.58837094E+5,
558.00,2.37439043E+4,1.35901406E+5,1.43409750E+5,1.80819313E+5,1.76533531E+5,1.70509266E+5,
560.00,2.54103633E+4,1.45354484E+5,1.53820438E+5,1.94582828E+5,1.89137063E+5,1.83362141E+5,
562.00,2.65925703E+4,1.55383969E+5,1.65106500E+5,2.07633453E+5,2.03479750E+5,1.95679234E+5,
564.00,2.80968574E+4,1.66517891E+5,1.74547359E+5,2.23017594E+5,2.15408750E+5,2.07799109E+5,
566.00,3.01196504E+4,1.75642563E+5,1.86741688E+5,2.36601969E+5,2.30332906E+5,2.19856891E+5,
568.00,3.15032852E+4,1.85702500E+5,1.97514797E+5,2.49251172E+5,2.43794047E+5,2.33834234E+5,
570.00,3.29289453E+4,1.96607859E+5,2.08630734E+5,2.65390375E+5,2.57723484E+5,2.49404281E+5,
572.00,3.40176914E+4,2.05635594E+5,2.18868734E+5,2.80504188E+5,2.69003594E+5,2.58592141E+5,
574.00,3.57279688E+4,2.18406313E+5,2.28478297E+5,2.92540750E+5,2.82669031E+5,2.74624063E+5,
576.00,3.80140703E+4,2.26007672E+5,2.39303188E+5,3.05131719E+5,2.98417906E+5,2.84883906E+5,
578.00,3.89313711E+4,2.35560281E+5,2.51585906E+5,3.15790063E+5,3.09654281E+5,2.96738906E+5,
580.00,4.01030703E+4,2.47688172E+5,2.59105016E+5,3.30346313E+5,3.20835594E+5,3.08391719E+5,
582.00,4.17454414E+4,2.54575844E+5,2.68899438E+5,3.42063688E+5,3.34807000E+5,3.23421063E+5,
584.00,4.25208242E+4,2.64014031E+5,2.79030938E+5,3.56730063E+5,3.47344844E+5,3.35371656E+5,
586.00,4.41552891E+4,2.72841469E+5,2.88768031E+5,3.68675344E+5,3.56712938E+5,3.45287938E+5,
588.00,4.50036367E+4,2.80724469E+5,2.96372156E+5,3.78726250E+5,3.66162281E+5,3.52274469E+5,
590.00,4.62937539E+4,2.86305875E+5,3.03147875E+5,3.87871844E+5,3.75429406E+5,3.61921531E+5,
592.00,4.73333438E+4,2.94246219E+5,3.12647344E+5,3.99531313E+5,3.86384531E+5,3.71226000E+5,
594.00,4.83428672E+4,3.00961594E+5,3.18260656E+5,4.05535531E+5,3.96881063E+5,3.82247500E+5,
596.00,4.95956523E+4,3.07082750E+5,3.28319094E+5,4.13414656E+5,4.05020844E+5,3.88796563E+5,
598.00,5.06941484E+4,3.14056719E+5,3.32096969E+5,4.24018563E+5,4.07540375E+5,3.96223875E+5,
600.00,5.11358320E+4,3.20521656E+5,3.37297125E+5,4.29889656E+5,4.19682813E+5,4.04431969E+5,
602.00,5.14443867E+4,3.24107000E+5,3.41013156E+5,4.35073469E+5,4.25058063E+5,4.06493938E+5,
604.00,5.19372227E+4,3.26280813E+5,3.45823625E+5,4.40765219E+5,4.31387656E+5,4.15024250E+5,
606.00,5.26939570E+4,3.32594531E+5,3.51994500E+5,4.47105375E+5,4.33715469E+5,4.19826906E+5,
608.00,5.31582500E+4,3.33792188E+5,3.56146375E+5,4.51112156E+5,4.37428531E+5,4.25371438E+5,
610.00,5.36341406E+4,3.38077969E+5,3.56186969E+5,4.53298313E+5,4.42842938E+5,4.25822125E+5,
612.00,5.34561094E+4,3.35878688E+5,3.59410469E+5,4.60267500E+5,4.47721688E+5,4.28364719E+5,
614.00,5.46415430E+4,3.39939875E+5,3.63876281E+5,4.62432000E+5,4.48585719E+5,4.31482313E+5,
616.00,5.43854023E+4,3.42400594E+5,3.62932219E+5,4.64451594E+5,4.49618063E+5,4.32997219E+5,
