Labels,2609_ZFFL55_AAN155_1E-5_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.09319092E+2,
402.00,6.78264832E+2,
404.00,8.29265808E+2,
406.00,1.08585303E+3,
408.00,2.23164526E+3,
410.00,3.68564697E+3,
412.00,2.62587036E+3,
414.00,2.59638281E+3,
416.00,3.18276953E+3,
418.00,4.16783545E+3,
420.00,7.20739160E+3,
422.00,1.05223203E+4,
424.00,1.00596445E+4,
426.00,9.67708105E+3,
428.00,1.11210713E+4,
430.00,1.33183223E+4,
432.00,1.59558545E+4,
434.00,1.84262305E+4,
436.00,2.18640371E+4,
438.00,2.51862012E+4,
440.00,3.01973516E+4,
442.00,3.51018359E+4,
444.00,4.04940664E+4,
446.00,4.57417813E+4,
448.00,5.17961719E+4,
450.00,5.72491133E+4,
452.00,6.37826016E+4,
454.00,7.11168828E+4,
456.00,7.81201641E+4,
458.00,8.62756719E+4,
460.00,9.34571719E+4,
462.00,1.01790680E+5,
464.00,1.10194469E+5,
466.00,1.18083266E+5,
468.00,1.27146109E+5,
470.00,1.34507969E+5,
472.00,1.42348969E+5,
474.00,1.50526781E+5,
476.00,1.57988375E+5,
478.00,1.65328281E+5,
480.00,1.72979688E+5,
482.00,1.78195063E+5,
484.00,1.85142672E+5,
486.00,1.89412188E+5,
488.00,1.93509375E+5,
490.00,2.00155906E+5,
492.00,2.01651844E+5,
494.00,2.03778750E+5,
496.00,2.07514656E+5,
498.00,2.09881672E+5,
500.00,2.10940563E+5,
502.00,2.12168375E+5,
504.00,2.10053859E+5,
506.00,2.10846453E+5,
508.00,2.10318094E+5,
510.00,2.07663688E+5,
512.00,2.05557266E+5,
514.00,2.03805844E+5,
516.00,1.99633703E+5,
518.00,1.97937313E+5,
520.00,1.94613813E+5,
522.00,1.91822313E+5,
524.00,1.86059813E+5,
526.00,1.83860484E+5,
528.00,1.79353125E+5,
530.00,1.75630734E+5,
532.00,1.71686781E+5,
534.00,1.66511516E+5,
536.00,1.63351906E+5,
538.00,1.57718391E+5,
540.00,1.53591359E+5,
542.00,1.50640750E+5,
544.00,1.43800547E+5,
546.00,1.41019313E+5,
548.00,1.37483781E+5,
550.00,1.31762734E+5,
552.00,1.27918750E+5,
554.00,1.24746625E+5,
556.00,1.19832891E+5,
558.00,1.16718852E+5,
560.00,1.11960047E+5,
562.00,1.07974797E+5,
564.00,1.05430406E+5,
566.00,1.01781430E+5,
568.00,9.79589375E+4,
570.00,9.61427813E+4,
572.00,9.31595859E+4,
574.00,9.00547813E+4,
576.00,8.73685547E+4,
578.00,8.45391641E+4,
580.00,8.10072891E+4,
582.00,7.87336172E+4,
584.00,7.70622344E+4,
586.00,7.56495547E+4,
588.00,7.20107969E+4,
590.00,6.98797266E+4,
592.00,6.75423047E+4,
594.00,6.66103438E+4,
596.00,6.49961133E+4,
598.00,6.24650820E+4,
600.00,6.06305469E+4,
602.00,5.91499688E+4,
604.00,5.78634648E+4,
606.00,5.56773281E+4,
608.00,5.46426289E+4,
610.00,5.22701367E+4,
612.00,5.19046016E+4,
614.00,5.07282148E+4,
616.00,4.84333867E+4,
618.00,4.72507422E+4,
620.00,4.65505508E+4,
622.00,4.50615273E+4,
624.00,4.46763281E+4,
626.00,4.33228203E+4,
628.00,4.21867813E+4,
630.00,4.12101172E+4,
632.00,4.03357500E+4,
634.00,3.85011797E+4,
636.00,3.81913945E+4,
638.00,3.78521445E+4,
640.00,3.62872070E+4,
642.00,3.52767266E+4,
644.00,3.52906602E+4,
646.00,3.41158398E+4,
648.00,3.30028672E+4,
650.00,3.22576504E+4,
652.00,3.09928828E+4,
654.00,3.06599844E+4,
656.00,2.91436816E+4,
658.00,2.99821934E+4,
660.00,2.84969805E+4,
662.00,2.70799668E+4,
664.00,2.66903262E+4,
666.00,2.65291621E+4,
668.00,2.53322871E+4,
670.00,2.49620664E+4,
672.00,2.44334590E+4,
674.00,2.37898555E+4,
676.00,2.26872969E+4,
678.00,2.22927461E+4,
680.00,2.22620918E+4,
682.00,2.10459492E+4,
684.00,2.15547168E+4,
686.00,1.97562031E+4,
688.00,1.96966367E+4,
690.00,1.82868652E+4,
692.00,1.82615801E+4,
694.00,1.75580430E+4,
696.00,1.82555859E+4,
698.00,1.67466895E+4,
700.00,1.71254570E+4,
702.00,1.61143740E+4,
704.00,1.59003389E+4,
706.00,1.51800518E+4,
708.00,1.48429443E+4,
710.00,1.40823809E+4,
712.00,1.47287324E+4,
714.00,1.40970996E+4,
716.00,1.37548271E+4,
718.00,1.30047305E+4,
720.00,1.32106084E+4,
722.00,1.26031338E+4,
724.00,1.21181670E+4,
726.00,1.18501387E+4,
728.00,1.12045215E+4,
730.00,1.11146436E+4,
732.00,1.06441680E+4,
734.00,1.08556289E+4,
736.00,9.74471973E+3,
738.00,1.05940596E+4,
740.00,1.02271611E+4,
742.00,9.38697754E+3,
744.00,9.20206738E+3,
746.00,8.88686914E+3,
748.00,9.22690527E+3,
750.00,8.01330566E+3,
752.00,8.38865332E+3,
754.00,8.20681055E+3,
756.00,7.69789063E+3,
758.00,7.57353174E+3,
760.00,7.40149365E+3,
762.00,7.57551367E+3,
764.00,6.91250928E+3,
766.00,7.50777783E+3,
768.00,6.65304980E+3,
770.00,6.53984521E+3,
772.00,6.91405615E+3,
774.00,6.30307910E+3,
776.00,5.86154150E+3,
778.00,5.70777539E+3,
780.00,6.07423340E+3,
782.00,5.38513281E+3,
784.00,5.17223828E+3,
786.00,5.98050879E+3,
788.00,4.64820117E+3,
790.00,4.85400586E+3,
792.00,4.36950977E+3,
794.00,5.17257764E+3,
796.00,4.96101123E+3,
798.00,3.61898804E+3,
800.00,4.18991113E+3,
802.00,3.38946606E+3,
804.00,4.33484766E+3,
806.00,4.09779102E+3,
808.00,3.79166895E+3,
810.00,4.21099023E+3,
812.00,3.52858472E+3,
814.00,4.63585303E+3,
816.00,3.18975659E+3,
818.00,3.03757397E+3,
820.00,3.37653662E+3,
822.00,3.30447461E+3,
824.00,2.89786670E+3,
826.00,3.02634766E+3,
828.00,3.09988550E+3,
830.00,3.24790527E+3,
832.00,3.09735620E+3,
834.00,3.50654712E+3,
836.00,3.02922925E+3,
838.00,2.68461890E+3,
840.00,2.60430737E+3,
842.00,2.27497021E+3,
844.00,2.47748462E+3,
846.00,2.73893481E+3,
848.00,2.72750903E+3,
850.00,2.52502271E+3,
