Labels,2809_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_after fridge_O2 2min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.84966614E+2,
402.00,6.54752380E+2,
404.00,7.14931885E+2,
406.00,8.65095398E+2,
408.00,2.17052075E+3,
410.00,3.29258203E+3,
412.00,1.67675330E+3,
414.00,1.32729541E+3,
416.00,1.54977539E+3,
418.00,2.01001770E+3,
420.00,4.90759619E+3,
422.00,7.62429932E+3,
424.00,5.01641064E+3,
426.00,2.89258130E+3,
428.00,2.49653418E+3,
430.00,2.70657178E+3,
432.00,2.87167993E+3,
434.00,3.28729663E+3,
436.00,3.37357983E+3,
438.00,3.72047168E+3,
440.00,3.73329395E+3,
442.00,4.23788428E+3,
444.00,4.52798975E+3,
446.00,4.84351758E+3,
448.00,5.05776123E+3,
450.00,5.03569434E+3,
452.00,5.57094336E+3,
454.00,5.61036182E+3,
456.00,5.69236572E+3,
458.00,6.17287744E+3,
460.00,6.11704248E+3,
462.00,6.32081689E+3,
464.00,6.54485596E+3,
466.00,6.75914648E+3,
468.00,6.90091406E+3,
470.00,7.05337109E+3,
472.00,7.31803906E+3,
474.00,7.37402539E+3,
476.00,7.40619922E+3,
478.00,7.40642822E+3,
480.00,7.67848096E+3,
482.00,7.82599170E+3,
484.00,7.65914258E+3,
486.00,7.66371729E+3,
488.00,7.98864111E+3,
490.00,7.98559473E+3,
492.00,8.19952930E+3,
494.00,8.19247754E+3,
496.00,8.48400000E+3,
498.00,8.46849316E+3,
500.00,8.87633984E+3,
502.00,8.96549512E+3,
504.00,9.74420215E+3,
506.00,1.04380977E+4,
508.00,1.12098555E+4,
510.00,1.20165957E+4,
512.00,1.29854512E+4,
514.00,1.48404160E+4,
516.00,1.63859688E+4,
518.00,1.88014785E+4,
520.00,2.09396699E+4,
522.00,2.38117285E+4,
524.00,2.72903711E+4,
526.00,3.07818164E+4,
528.00,3.53363008E+4,
530.00,3.99208516E+4,
532.00,4.54120313E+4,
534.00,5.13180625E+4,
536.00,5.75165820E+4,
538.00,6.39237188E+4,
540.00,7.14781016E+4,
542.00,7.99541484E+4,
544.00,8.89680234E+4,
546.00,9.63082656E+4,
548.00,1.06318938E+5,
550.00,1.15499008E+5,
552.00,1.25251625E+5,
554.00,1.34709188E+5,
556.00,1.46633953E+5,
558.00,1.55620813E+5,
560.00,1.68730875E+5,
562.00,1.79645422E+5,
564.00,1.92980375E+5,
566.00,2.03619109E+5,
568.00,2.15067203E+5,
570.00,2.27397031E+5,
572.00,2.39698766E+5,
574.00,2.51780500E+5,
576.00,2.63513719E+5,
578.00,2.74898813E+5,
580.00,2.85521563E+5,
582.00,2.98261156E+5,
584.00,3.05208281E+5,
586.00,3.17035469E+5,
588.00,3.25763969E+5,
590.00,3.35322969E+5,
592.00,3.42706344E+5,
594.00,3.50191406E+5,
596.00,3.59146219E+5,
598.00,3.64968719E+5,
600.00,3.71659219E+5,
602.00,3.78824219E+5,
604.00,3.83348844E+5,
606.00,3.86886500E+5,
608.00,3.89292625E+5,
610.00,3.94833750E+5,
612.00,3.98959688E+5,
614.00,3.97634250E+5,
616.00,4.00948438E+5,
618.00,4.01638938E+5,
620.00,4.02542188E+5,
622.00,4.05999969E+5,
624.00,4.05103906E+5,
626.00,4.03167844E+5,
628.00,4.03359156E+5,
630.00,4.02957094E+5,
632.00,4.03594719E+5,
634.00,3.98715531E+5,
636.00,3.97951219E+5,
638.00,3.93961625E+5,
640.00,3.91790375E+5,
642.00,3.94269688E+5,
644.00,3.86283031E+5,
646.00,3.81835094E+5,
648.00,3.73838188E+5,
650.00,3.72949594E+5,
652.00,3.71395063E+5,
654.00,3.64065594E+5,
656.00,3.57464875E+5,
658.00,3.53588438E+5,
660.00,3.47299344E+5,
662.00,3.44647188E+5,
664.00,3.40215688E+5,
666.00,3.34004313E+5,
668.00,3.29595781E+5,
670.00,3.22727875E+5,
672.00,3.16533094E+5,
674.00,3.08846906E+5,
676.00,3.04405594E+5,
678.00,2.98331719E+5,
680.00,2.94183281E+5,
682.00,2.89136750E+5,
684.00,2.79043375E+5,
686.00,2.73313625E+5,
688.00,2.68064938E+5,
690.00,2.61935203E+5,
692.00,2.58756719E+5,
694.00,2.53572734E+5,
696.00,2.49228969E+5,
698.00,2.40426141E+5,
700.00,2.36620547E+5,
702.00,2.31638453E+5,
704.00,2.26618594E+5,
706.00,2.24340234E+5,
708.00,2.16939609E+5,
710.00,2.11615063E+5,
712.00,2.06839047E+5,
714.00,2.04654719E+5,
716.00,1.99066578E+5,
718.00,1.94374531E+5,
720.00,1.89556672E+5,
722.00,1.87594797E+5,
724.00,1.82277922E+5,
726.00,1.77240609E+5,
728.00,1.74690594E+5,
730.00,1.67385656E+5,
732.00,1.63091828E+5,
734.00,1.59068344E+5,
736.00,1.59552453E+5,
738.00,1.53117406E+5,
740.00,1.47663953E+5,
742.00,1.47541000E+5,
744.00,1.42253219E+5,
746.00,1.33314750E+5,
748.00,1.35387656E+5,
750.00,1.31915359E+5,
752.00,1.26700203E+5,
754.00,1.23436484E+5,
756.00,1.21329641E+5,
758.00,1.17576023E+5,
760.00,1.13591641E+5,
762.00,1.12000047E+5,
764.00,1.04766297E+5,
766.00,1.04930734E+5,
768.00,1.00721414E+5,
770.00,9.95873359E+4,
772.00,9.72592344E+4,
774.00,9.39487969E+4,
776.00,9.00733672E+4,
778.00,8.68557266E+4,
780.00,8.54631094E+4,
782.00,8.07483672E+4,
784.00,8.18459141E+4,
786.00,8.00779609E+4,
788.00,7.58865938E+4,
790.00,7.59915000E+4,
792.00,7.45901406E+4,
794.00,7.04933984E+4,
796.00,6.95638359E+4,
798.00,6.82561094E+4,
800.00,6.33362422E+4,
802.00,6.31487773E+4,
804.00,5.87506211E+4,
806.00,5.55275391E+4,
808.00,5.50302500E+4,
810.00,5.68476719E+4,
812.00,5.46940000E+4,
814.00,5.07147656E+4,
816.00,4.71398945E+4,
818.00,4.82272969E+4,
820.00,4.47025820E+4,
822.00,4.57119648E+4,
824.00,4.62403320E+4,
826.00,4.57185039E+4,
828.00,3.99619883E+4,
830.00,3.95847422E+4,
832.00,3.73704336E+4,
834.00,3.86762852E+4,
836.00,3.63086094E+4,
838.00,3.78926719E+4,
840.00,3.65147539E+4,
842.00,3.37700195E+4,
844.00,3.12159512E+4,
846.00,3.26796660E+4,
848.00,3.02364980E+4,
850.00,3.00210234E+4,
